channel_order,channel_name,program_order,program_title,start_time_raw,end_time_raw,duration_raw,release_year,rating,genres_raw,season_number,episode_number,episode_title,synopsis
14,CNN,1,Anderson Cooper 360°,1:00 PM,2:00 PM,1 hr,2003,,News / Talk-Show,,,,"Anderson Cooper reports on breaking news from around the world, providing an in-depth look at headline news as well as the underreported events of the day, with medical commentary from Dr..."
14,CNN,2,CNN NewsNight with Abby Phillip,2:00 PM,3:00 PM,1 hr,2023,,,,,,Political correspondent Abby Phillip presents a sharp approach to the day's headlines.
14,CNN,3,Anderson Cooper 360°,3:00 PM,4:00 PM,1 hr,2003,,News / Talk-Show,,,,"Anderson Cooper reports on breaking news from around the world, providing an in-depth look at headline news as well as the underreported events of the day, with medical commentary from Dr..."
15,CSPA-1,1,U.S. House of Representatives,1:00 PM,3:00 PM,2 hrs,,,,,,,The House will complete work on the 2027 defense programs and policy (NDAA) bill and consider the GOP budget resolution for reconciliaiton 3.0 and legislation to ban stock trading by members...
15,CSPA-1,2,U.S. House of Representatives,3:00 PM,5:00 PM,2 hrs,,,,,,,The House will complete work on the 2027 defense programs and policy (NDAA) bill and consider the GOP budget resolution for reconciliaiton 3.0 and legislation to ban stock trading by members...
16,FOXBN,1,Paid Program,1:30 PM,2:00 PM,30 min,,G,,,,,Sponsored television programming.
16,FOXBN,2,Best Mattress Topper Ever!,2:00 PM,2:30 PM,30 min,,G,,,,,Back Pain? Hip? Sleep well thanks to this cooling topper!
16,FOXBN,3,Paid Program,2:30 PM,3:00 PM,30 min,,G,,,,,Sponsored television programming.
16,FOXBN,4,Kelsey Grammer's Historic Battles for America,3:00 PM,4:00 PM,1 hr,2022,,,,,,"The Virginia hills run red with blood during the Battle of Bull Run, the first major battle of the American Civil War, and the fighting dashes all hopes for a swift end to the war as the..."
17,FNC,1,Hannity,1:00 PM,2:00 PM,1 hr,2009,,News / Reality-TV / Talk-Show,,,,"The noted author and commentator brings his perspective to today's top news stories and presents segments such as ""The Great American Panel,"" with three guests offering point and counterpoint..."
17,FNC,2,Gutfeld!,2:00 PM,3:00 PM,1 hr,2021,,Comedy / Talk-Show,,,,"Host Greg Gutfeld discusses the latest news stories, entertainment updates and current events through a presentation of comedic parodies, panel discussions, monologues, and interviews with..."
17,FNC,3,Fox News @ Night,3:00 PM,4:00 PM,1 hr,2017,,,,,,"Anchor Shannon Bream presents viewers with a look at the latest news stories and featured headlines of the day, with commentary from a selection of correspondents and experts, and an eye..."
18,HLN,1,Forensic Files,1:30 PM,2:00 PM,30 min,1996,TV-14,Documentary / Crime,,,,"When police investigators experience difficulty solving crimes, they seek the assistance of scientists who are able to uncover clues through the close examination of evidence using the most..."
18,HLN,2,Forensic Files,2:00 PM,2:30 PM,30 min,1996,TV-14,Documentary / Crime,,,,"When police investigators experience difficulty solving crimes, they seek the assistance of scientists who are able to uncover clues through the close examination of evidence using the most..."
18,HLN,3,Forensic Files,2:30 PM,3:00 PM,30 min,1996,TV-14,Documentary / Crime,,,,"When police investigators experience difficulty solving crimes, they seek the assistance of scientists who are able to uncover clues through the close examination of evidence using the most..."
18,HLN,4,Forensic Files,3:00 PM,3:30 PM,30 min,1996,TV-14,Documentary / Crime,,,,"When police investigators experience difficulty solving crimes, they seek the assistance of scientists who are able to uncover clues through the close examination of evidence using the most..."
19,MSNBC,1,The 11th Hour with Ali Velshi,1:00 PM,2:00 PM,1 hr,2026,,,,,,"Ali Velshi delivers sharp, data-driven analysis of the day's stories in economics, politics, democracy and foreign affairs. In the heart of NYC, Velshi convenes a panel of guests to help..."
19,MSNBC,2,All in with Chris Hayes,2:00 PM,3:00 PM,1 hr,2013,TV-PG,,,,,Commentator Chris Hayes discusses numerous political issues and important topics of the day with a panel comprised of noted experts.
19,MSNBC,3,The Briefing with Jen Psaki,3:00 PM,4:00 PM,1 hr,2025,,,,,,Political analyst Jen Psaki examines the biggest issues of the week and interviews newsmakers.
20,WGNAMER,1,Katie Pavlich,1:00 PM,2:00 PM,1 hr,2026,TV-PG,,,,,
20,WGNAMER,2,Cuomo,2:00 PM,3:00 PM,1 hr,2022,,,,,,"The day's major news events affecting the city, the state, and the nation, along with late-breaking stories from around the globe and interviews with a special guest, are presented by Chris..."
20,WGNAMER,3,On Balance with Leland Vittert,3:00 PM,4:00 PM,1 hr,2021,,,,,,"The day's major news events affecting the city, the state, and the nation, along with late-breaking stories from around the globe, are presented by Leland Vittert."
21,ACCN,1,College Football,11:00 AM,2:00 PM,3 hrs,2025,,,,,,Miami Hurricanes at Florida State Seminoles from Doak S. Campbell Stadium
21,ACCN,2,ACC Huddle,2:00 PM,2:30 PM,30 min,2025,,,,,,"Analysts preview the 2025 football season for the Wake Forest Demon Deacons, breaking down the key players returning from last year's team, the newcomers that will have some shoes to fill from..."
21,ACCN,3,Authentic ACC,2:30 PM,3:30 PM,1 hr,2025,,,,,,"An all-access look focuses on the Wake Forest football team as they prepare for the 2025 season during the spring practice session, as interviews with head coach Jake Dickert and star players..."
22,BTN,1,College Baseball,12:30 PM,3:30 PM,3 hrs,2018,,,,,,"Minnesota Golden Gophers vs Purdue Boilermakers from TD Ameritrade Ballpark in Omaha, Neb."
23,CBSSPT,1,2026 SBD World's Strongest Man,1:00 PM,2:00 PM,1 hr,2026,,,,,,
23,CBSSPT,2,2026 SBD World's Strongest Man,2:00 PM,3:00 PM,1 hr,2026,,,,,,
23,CBSSPT,3,2026 SBD World's Strongest Man,3:00 PM,4:00 PM,1 hr,2026,,,,,,
24,ESPN,1,SportsCenter,1:00 PM,2:00 PM,1 hr,1979,,News / Sport / Talk-Show,,,,"The worldwide leader in sports covers all the important stories of the day, including game highlights, player interviews, and special segments; correspondents relay up-to-the-minute news and..."
24,ESPN,2,SportsCenter,2:00 PM,3:00 PM,1 hr,1979,,News / Sport / Talk-Show,,,,"The worldwide leader in sports covers all the important stories of the day, including game highlights, player interviews, and special segments; correspondents relay up-to-the-minute news and..."
24,ESPN,3,The 2026 ESPYS,3:00 PM,5:00 PM,2 hrs,2026,,,,,,from David H. Koch Theater in New York City
25,ESPN2,1,NFL Live,1:00 PM,2:00 PM,1 hr,,,News / Sport,,,,"The latest news and reports around the NFL are discussed in detail with a panel of expert analysts weighing in on the hottest issues, while veteran football reporters provide up-to-date..."
25,ESPN2,2,MLB Baseball,2:00 PM,4:00 PM,2 hrs,2026,,,,,,Detroit Tigers at Chicago Cubs from Wrigley Field
26,ESPNWS,1,Pardon the Interruption,1:30 PM,2:00 PM,30 min,2001,,News / Sport / Talk-Show,,,,"Tony Kornheiser and Michael Wilbon, longtime colleagues and friends, engage in verbal sparring during a fast-paced and wide-ranging discussion about current events in the world of sports;..."
26,ESPNWS,2,Donk Toss World Championship,2:00 PM,2:30 PM,30 min,2001,,News / Sport / Talk-Show,,,,"Tony Kornheiser and Michael Wilbon, longtime colleagues and friends, engage in verbal sparring during a fast-paced and wide-ranging discussion about current events in the world of sports;..."
26,ESPNWS,3,BBA Bubbleball,2:30 PM,3:00 PM,30 min,2026,,,,,,
26,ESPNWS,4,SportsCenter,3:00 PM,4:00 PM,1 hr,1979,,News / Sport / Talk-Show,,,,"The worldwide leader in sports covers all the important stories of the day, including game highlights, player interviews, and special segments; correspondents relay up-to-the-minute news and..."
27,ESPNU,1,College Football,12:00 PM,3:00 PM,3 hrs,2025,,,,,,Texas A&M Aggies at Texas Longhorns from Darrell K Royal-Texas Memorial Stadium
27,ESPNU,2,Authentic ACC,3:00 PM,4:00 PM,1 hr,2025,,,,,,"An all-access look focuses on the Wake Forest football team as they prepare for the 2025 season during the spring practice session, as interviews with head coach Jake Dickert and star players..."
28,FANDU,1,Live Racing! International,11:00 AM,11:00 PM,12 hrs,2022,,,,,,Live horse racing from various tracks from across the globe.
29,FS1,1,The Basketball Tournament,12:30 PM,2:30 PM,2 hrs,2026,,,,,,"from Memorial Coliseum in Lexington, Ky."
29,FS1,2,The Basketball Tournament,2:30 PM,4:00 PM,1 hr 30 min,2026,,,,,,"JHX Hoops (Kansas) at Purple Reign (Kansas State) from Bramlage Coliseum in Manhattan, Ks."
30,FS2,1,2026 FIFA World Cup,12:00 PM,2:00 PM,2 hrs,2026,,,,,,Norway at England from Miami Stadium
30,FS2,2,2026 FIFA World Cup,2:00 PM,4:00 PM,2 hrs,2026,,,,,,France at England from Miami Stadium
31,FUSEHD,1,Malibooty!,1:30 PM,3:30 PM,2 hrs,2003,PG-13,Comedy,,,,"Determined to fulfill his lifelong dream of being a famed hip-hop star, a man convinces his friends to go with him to Malibu to crash the Boogie Beach Bash and make industry contacts, but they..."
32,GOLF,1,Golf Central,1:30 PM,2:30 PM,1 hr,,,News / Sport,,,,"Experts explore the latest news and reports surrounding the world of golf, including daily coverage from the biggest tournaments, live updates, highlights of top moments, in-depth analysis..."
32,GOLF,2,Golf Central,2:30 PM,3:30 PM,1 hr,,,News / Sport,,,,"Experts explore the latest news and reports surrounding the world of golf, including daily coverage from the biggest tournaments, live updates, highlights of top moments, in-depth analysis..."
33,MTTREND,1,Wheeler Dealers: World Tour,1:00 PM,2:00 PM,1 hr,,,Documentary,1,9,McLaren P1,
33,MTTREND,2,Wheeler Dealers: World Tour,2:00 PM,3:00 PM,1 hr,,,Documentary,1,7,Hilux Australia,
33,MTTREND,3,Wheeler Dealers: World Tour,3:00 PM,4:00 PM,1 hr,,,Documentary,1,5,Ford Xr8  Australia,
34,NFLNET,1,Team Highlights,1:30 PM,2:00 PM,30 min,2014,,,,,,"NFL Films provides a detailed look back at highlights of all 32 teams from the 2013 season, featuring wired up players and coaches during the biggest matchups, memorable plays and moments that..."
34,NFLNET,2,Team Highlights,2:00 PM,2:30 PM,30 min,2014,,,,,,"NFL Films provides a detailed look back at highlights of all 32 teams from the 2013 season, featuring wired up players and coaches during the biggest matchups, memorable plays and moments that..."
34,NFLNET,3,Team Highlights,2:30 PM,3:00 PM,30 min,2014,,,,,,"NFL Films provides a detailed look back at highlights of all 32 teams from the 2013 season, featuring wired up players and coaches during the biggest matchups, memorable plays and moments that..."
34,NFLNET,4,The Insiders,3:00 PM,4:00 PM,1 hr,2023,,,,,,"NFL insiders, including Ian Rapoport, Tom Pelissero and Mike Garafolo, break down the latest team news making headlines across the league, discussing the impact it will have on the team, along..."
35,MLB,1,Quick Pitch,1:00 PM,2:00 PM,1 hr,2009,,Sport,,,,"Catch all the latest baseball news, scores and highlights plus your first look at upcoming matchups, all in one lightning-fast hour."
35,MLB,2,Quick Pitch,2:00 PM,3:00 PM,1 hr,2009,,Sport,,,,"Catch all the latest baseball news, scores and highlights plus your first look at upcoming matchups, all in one lightning-fast hour."
35,MLB,3,Quick Pitch,3:00 PM,4:00 PM,1 hr,2009,,Sport,,,,"Catch all the latest baseball news, scores and highlights plus your first look at upcoming matchups, all in one lightning-fast hour."
36,NBATV,1,The Association,1:00 PM,3:00 PM,2 hrs,2014,,,,,,"Cameras give an all-access look at the top teams in the NBA throughout the season as they compete for a spot in the playoffs, showing the players and coaches on and off the court to show the..."
36,NBATV,2,The Association,3:00 PM,5:00 PM,2 hrs,2014,,,,,,"Cameras give an all-access look at the top teams in the NBA throughout the season as they compete for a spot in the playoffs, showing the players and coaches on and off the court to show the..."
37,NHLTV,1,NHL Tonight,1:00 PM,2:00 PM,1 hr,2011,,,,,,"Updates from games taking place around the league as well as highlights, injury updates and postgame interviews with players and coaches; coverage includes discussion on the latest headlines..."
37,NHLTV,2,NHL Tonight,2:00 PM,3:00 PM,1 hr,2011,,,,,,"Updates from games taking place around the league as well as highlights, injury updates and postgame interviews with players and coaches; coverage includes discussion on the latest headlines..."
37,NHLTV,3,NHL Tonight,3:00 PM,4:00 PM,1 hr,2011,,,,,,"Updates from games taking place around the league as well as highlights, injury updates and postgame interviews with players and coaches; coverage includes discussion on the latest headlines..."
38,OUTDRE,1,Bowhunter TV,1:30 PM,2:00 PM,30 min,2026,,Adventure / Sport,,,,"Outdoor enthusiasts and professional hunters Mike Carney and Curt Wells give an in-depth examination of the bowhunting industry, while offering viewers helpful insider tips and features on the..."
38,OUTDRE,2,Guns & Ammo TV,2:00 PM,2:30 PM,30 min,2026,,Sport,,,,"Firearms experts put today's best firearms through the torture test, provide reviews of brand new products as well as classic guns, and explore the latest news from the world of guns and gun..."
38,OUTDRE,3,Handguns,2:30 PM,3:00 PM,30 min,2026,,,,,,"Pistols, revolvers, ammunition and accessories used in a core handgun environment such as police service, home defense, competitive shooting and hunting are examined as veteran hosts display..."
38,OUTDRE,4,Shooting USA,3:00 PM,3:30 PM,30 min,2021,,,,,,"Firearms reporter and host Jim Scoutten travels around the country while providing reports from the firearms development field, delving into the history of guns and gun-making, and delivering..."
39,SECNET,1,SEC Now,8:00 AM,2:30 PM,6 hrs 30 min,2026,,,,,,"from Tampa Marriott Water Street, Tampa, FL, USA"
39,SECNET,2,The Paul Finebaum Show,2:30 PM,6:00 PM,3 hrs 30 min,2013,,,,,,"Paul Finebaum shares his thoughts on the latest college football news, offering his insight on the latest issues, and he interviews various guests about current events; Finebaum takes calls..."
40,TENNIS,1,Courtside,11:00 AM,4:00 PM,5 hrs,2026,,,,,,Coverage of ATP 250 clay court tournaments in Kitzbuhel and Estoril as well as a WTA 250 clay court tournament in Hamburg; Prague is hosting a WTA 250 hardcourt tournament before the North...
41,A&E,1,Swamp Patrol,1:04 PM,1:34 PM,30 min,2026,,,,,,"In Arkansas, multiple units search for a suspect in thick woodland. A brave police dog jumps off a 60-foot bridge. A man hiding in swamp mud gets stuck. A car crashes into a lake with a child..."
41,A&E,2,Swamp Patrol,1:34 PM,2:05 PM,31 min,2026,,,,,,"SWAT are called to chase down a stolen multi-million-dollar yacht among the mangroves. Burglars hide in a gator's canal to avoid capture, a suspect uses his nudity as an excuse not to..."
41,A&E,3,Swamp Patrol,2:05 PM,2:34 PM,29 min,2026,,,,,,"A suspect dives into open water and vanishes into the mangroves. In Texas, a chase ends in a swampy manhunt as officers call in reinforcements after suspects bail and disappear into the..."
41,A&E,4,Swamp Patrol,2:34 PM,3:02 PM,28 min,2026,,,,,,"A deputy and his K-9 wade through the murky waters of a Georgia swamp to catch a submerged felon. In Louisiana's Cajun country, a suspect escapes into a gator-filled bayou. A man accused of..."
41,A&E,5,Paid Program,3:02 PM,3:32 PM,30 min,,G,,,,,Sponsored television programming.
42,AHC,1,Against the Odds,1:00 PM,2:00 PM,1 hr,2016,TV-PG,Documentary / History / War,2,1,Fighting Fox: Road to Hell,"A detailed examination of the paratroopers of Fighting Fox Company, who fought and died in World War II battles from Normandy to Hitler's Eagle's Nest, demonstrating both dogged determination..."
42,AHC,2,Against the Odds,2:00 PM,3:00 PM,1 hr,2016,TV-PG,Documentary / History / War,2,3,The Magnificent Bastards of Dai Do,"The story of the men of Echo Company, charged with facing down an overwhelming North Vietnamese Army in Dai Do, in order to rescue their fellow Marines."
42,AHC,3,Shadow Ops,3:00 PM,4:00 PM,1 hr,2013,TV-PG,Documentary,1,2,Escape From Moscow,"Oleg Gordievsky, colonel in the KGB, the Soviet's Committee for State Security, spends ten years spying for Britain's Secret Intelligence Service when he discovers that the Soviets are..."
43,AMCALL,1,The Walking Dead: Dead City,12:30 PM,1:40 PM,1 hr 10 min,2023,TV-MA,Action / Adventure / Drama / Horror / Thriller,1,1,Old Acquaintances,"Once Maggie finds Negan, they travel to Manhattan; Negan is followed by a marshal named Armstrong; a quiet girl named Ginny."
43,AMCALL,2,,,,3 min,2026,TV-MA,Action / Adventure / Drama / Horror / Thriller,,,58Metascore,"The Walking Dead: Dead City Season 3 is set for a July 26, 2026 premiere on AMC and AMC+. The upcoming season follows Maggie and Negan as they attempt to build a thriving community in..."
43,AMCALL,3,The Walking Dead: Dead City,1:43 PM,2:39 PM,56 min,2023,TV-MA,Action / Adventure / Drama / Horror / Thriller,1,2,Who's There?,Negan and Maggie meet native New Yorkers; Armstrong confronts a trauma; Ginny must try to adapt to change.
43,AMCALL,4,The Walking Dead: Dead City,2:39 PM,3:40 PM,56 min,2023,TV-MA,Action / Adventure / Drama / Horror / Thriller,1,2,Who's There?,Negan and Maggie meet native New Yorkers; Armstrong confronts a trauma; Ginny must try to adapt to change.
44,ANIMAL,1,Naked and Afraid,1:00 PM,3:00 PM,2 hrs,2022,TV-14,Adventure / Game-Show / Horror / Reality-TV,14,9,Legends and Rookies,"Legendary survivalists Max and Rylie join two novice fans in the South African bush, where they must survive for three weeks among spitting cobras, aggressive warthogs, rhinos and..."
44,ANIMAL,2,My Cat from Hell,3:00 PM,4:00 PM,1 hr,2015,TV-PG,Reality-TV,6,10,Paranormal Cat- tivity,"After a desperate woman posts a video looking for a home for her problematic cat Jimmy Slap, Jackson is called in to offer her the help she needs; Harold the cat wants to kill fellow feline..."
45,BBCAME,1,Criminal Minds,1:00 PM,2:00 PM,1 hr,2011,TV-14,Crime / Mystery / Thriller / Drama,6,18,Lauren,"Prentiss feels that she is ready to finally confront her nemesis, Ian Doyle, once and for all; the BAU team calls upon their beloved former team member in JJ to help them find Prentiss and..."
45,BBCAME,2,Criminal Minds,2:00 PM,3:00 PM,1 hr,2011,TV-14,Crime / Mystery / Thriller / Drama,6,19,With Friends Like These...,"When a gang of suspected murderers start targeting a new victim per night, the BAU team travels to Portland to stop them before they can strike again; Hotch is on the hunt to find another..."
45,BBCAME,3,Criminal Minds,3:00 PM,4:00 PM,1 hr,2011,TV-14,Crime / Mystery / Thriller / Drama,6,20,Hanley Waters,"As the team struggles to cope with the loss of Prentiss, a woman in a psychotic break goes on a killing rampage and seemingly behaves completely on emotion, as her victims are killed at random..."
46,BET,1,The Jamie Foxx Show,1:30 PM,2:00 PM,30 min,1997,TV-PG,Comedy,2,11,Too Much Soul Food,Jamie and the family attempt to have a nice Thanksgiving dinner but when an unexpected accident befalls the head of the household the entire day is ruined with they are forced to go to the...
46,BET,2,The Jamie Foxx Show,2:00 PM,2:30 PM,30 min,1997,TV-PG,Comedy,2,12,Super Face-Off,"Jamie brags about being named the employee of the month at the hotel; a Los Angeles jewel thief is on the loose within the city, and Jamie is mistaken by authorities for the real culprit and..."
46,BET,3,The Jamie Foxx Show,2:30 PM,3:00 PM,30 min,1998,TV-PG,Comedy,2,13,Soul Mate to Cellmate,"Jamie begins dating a woman he meets at the hotel in order to make Fancy jealous, but he later discovers that the woman is married to a man in prison, and he expects to return home to his wife..."
46,BET,4,Tyler Perry's House of Payne,3:00 PM,3:30 PM,30 min,2021,TV-PG,Comedy / Drama / Romance / Family,10,3,All Lumped Together,Ella faces a frightening health situation after her annual mammogram reveals she has a lump in her breast; Malik's scholarship hangs in the balance when he faces the difficult choice between...
47,BETHER,1,Tyler Perry's Assisted Living,1:12 PM,1:48 PM,36 min,2023,TV-PG,Comedy,4,16,Golden Oldie,Mr. Brown's girlfriend is furious to learn Anastasia is competing in the same pageant as her; Leah is shocked when Jeremy buys her a broom for a birthday gift.
47,BETHER,2,Tyler Perry's Assisted Living,1:48 PM,2:24 PM,36 min,2023,TV-PG,Comedy,4,17,Big Thanks Little Thanks,Sandra's stint preparing Thanksgiving turkey leads to a lot of hungry residents; Anastasia struggles with the passing of an old friend.
47,BETHER,3,Tyler Perry's Assisted Living,2:24 PM,3:00 PM,36 min,2023,TV-PG,Comedy,4,18,Super Senior,Anastasia's plans to return to college face the reality of changing times; a rival facility challenges the Pleasant Days team to a charity walk.
47,BETHER,4,Reminisce,3:00 PM,4:00 PM,1 hr,2017,TV-14,,,,,A throwback mix of R&B and hip hop music to start the morning.
48,BOOM-E,1,Ben 10,1:30 PM,2:00 PM,30 min,2006,TV-Y7,Animation / Action / Adventure / Family / Sci-Fi,1,10,Lucky Girl,A magician whose intimidating powers originate from within a set of mystical charms faces off against Ben in a battle that becomes increasingly ominous for the villain when his foe uses the...
48,BOOM-E,2,Tom and Jerry,2:00 PM,2:10 PM,10 min,1961,TV-PG,Comedy,2,2,Down and Outing,Tom and Jerry try to do each other in during a fishing trip.
48,BOOM-E,3,Tom and Jerry,2:10 PM,2:20 PM,10 min,1961,TV-PG,Comedy,3,3,It's Greek to Me-ow,Tom chases Jerry around during the times of Ancient Greece.
48,BOOM-E,4,Tom and Jerry,2:20 PM,2:30 PM,10 min,,TV-PG,News / Talk-Show,,,,"Classic ""cat and mouse"" tales pit a hungry and high-spirited cat against a loveable and lively mouse as they romp and run through adventures that are full of mischief and mayhem, as well as..."
48,BOOM-E,5,Tom and Jerry,2:30 PM,2:40 PM,10 min,,TV-PG,Adventure,3,5,Landing Stripling,"Classic ""cat and mouse"" tales pit a hungry and high-spirited cat against a loveable and lively mouse as they romp and run through adventures that are full of mischief and mayhem, as well as..."
48,BOOM-E,6,Tom and Jerry,2:40 PM,2:50 PM,10 min,1962,TV-PG,Comedy,3,6,Calypso Cat,"Tom falls in love with a cat, but she loses interest in him when they reach an island."
48,BOOM-E,7,Tom and Jerry,2:50 PM,3:00 PM,10 min,1962,TV-PG,Comedy,2,8,Dicky Moe,Tom and Jerry are along for a ride on a ship as the captain is obsessed with killing a white whale.
48,BOOM-E,8,Popeye the Sailor,3:00 PM,3:10 PM,10 min,1943,PG,Animation / Adventure / Comedy / Family / Romance,1,116,Too Weak to Work,"Bluto checks himself into the hospital to fake exhaustion so that he can get some rest and enjoy some peace and quiet, and when Popeye discovers what Bluto is up to, he plays a trick on his..."
48,BOOM-E,9,Popeye the Sailor,3:10 PM,3:20 PM,10 min,1943,PG,Animation / Adventure / Comedy / Family / Romance,11,5,Ration Fer the Duration,"Popeye lectures his nephews on being productive with their time as he plants a victory garden, and when Popeye then falls asleep, he has a dream about climbing a giant beanstalk, which leads..."
