program_id,program_type_id,title,description,parental_rating
100,3,Bluey,,
101,3,BeddyByes,,
102,3,Disney's Mickey Mouse Clubhouse,,
103,3,Disney's Lilo & Stitch: The Series,,
104,3,Big Hero 6,,
105,3,DuckTales,,
106,1,Why Can't My Life Be a Rom-Com?,,
107,1,Royal Rendezvous,,
108,5,Kitchen Chaos,,
109,5,Guy's Grocery Games,,
110,5,According to Jim,,
111,5,What’s Your Injury Case Worth?,,
112,5,The 700 Club,,
113,1,Alien: Resurrection,,
114,1,Man on Fire,,
115,5,Futurama,,
116,5,King of the Hill,,
117,1,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight,,
118,5,24 Hour Flip,,
119,1,The Trouble with Christmas Mistletoe,,
120,1,A Royal Icing Christmas,,
121,5,The Perfect Line,,
122,5,Jeopardy!,,
123,5,Family Feud,,
124,5,The Waltons,,
125,5,Heartland,,
126,5,Highway to Heaven,,
127,5,"Murder, She Wrote",,
128,5,Worst Yard On The Block,,
129,5,House Hunters,,
130,5,Ugliest House in America,,
131,5,Alone,,
132,5,Forged in Fire,,
133,5,Three's Company,,
134,5,911: Did the Killer Call?,,
135,5,See No Evil,,
136,5,Body Cam,,
137,5,Rizzoli & Isles,,
138,1,A Husband to Die For: The Lisa Aguilar Story,,
139,1,Yoga Teacher Killer: The Kaitlin Armstrong Story,,
140,5,RuPaul's Drag Race,,
141,5,Maine Cabin Masters,,
142,5,Ridiculousness,,
143,5,The Fresh Prince of Bel-Air,,
144,5,The Wayans Bros.,,
145,5,Lost Treasures of Rome,,
146,5,Shark Attack Files,,
147,5,Jack Hanna's Passport,,
148,5,Friends,,
149,3,PAW Patrol,,
150,3,SpongeBob SquarePants,,
151,5,Midsomer Murders,,
152,5,The Art Of,,
153,5,"Have Thinning Hair? Keranique Can Help Regrow Beautiful, Thicker Hair!",,
154,5,My Lottery Dream Home,,
155,5,The Killer Among Us,,
156,1,Top Gun,,
157,1,F9,,
158,5,FBI,,
159,5,On Patrol: Live,,
160,5,The Aging Brain,,
161,5,Engineering Catastrophes,,
162,5,Mayday: Air Disaster,,
163,5,Law & Order,,
164,1,Cocaine Bear,,
165,1,NCIS: Los Angeles,,
166,5,The Office,,
167,1,A Soldier's Story,,
168,1,Fiddler on the Roof,,
